Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Yana Papa,2,Indirect/Crop and Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong ,Average,Intense blackish,Absent,Absent ,White ,Violet,Vascular ring and medulla,Decumbent,"Pigmented, with little green",Straight,5 pairs,2 pairs,1.06 kg,20,Late,3800 - 4000 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Purple,In,long apex   ,"It is a very productive variety that is planted in chaqru and is not good for making chuño because when you step on it it breaks and turns into a kind of mazamorra, which is why it spoils.",,"Parboiled, chuño soup, puree",Intermediate
Yana Pumapa Makin,1,Indirect/Body parts and Color,Solanum tuberosum (Group Andigenum),Common ,Oblong-elongated fingered,Average,Intermediate blackish,Absent,Absent ,light yellow,Purple,narrow vascular ring ,Decumbent,"Pigmented, with little green",Wavy,4 pairs,2 pairs,0.38 kg,16,Intermediate,3800 - 4000 msnm,Tolerant,Resistant,"Green, with abundant spots ",Pigmented under joint    ,Moderate,Rotated ,light lilac,Purple,Bands on both sides    ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,Few stains throughout,"The tubers are shaped like a puma claw, hence the name. Farmers in the area consider it an “old potato” or “grandfather's potato.” Currently, only potato custodians plant it for consumption or barter.",Barter and Family consumption,Parboiled,Intermediate
Yana Puqya,2,Indirect/Body parts,Solanum tuberosum (Group Stenotomum),Common ,Round ,Average,Intense red-purple,Absent,Absent ,White ,Purple,Vascular ring and medulla,Semi-erect,"Green, with few spots",Straight,5 pairs,2 pairs,0.90 kg,28,Intermediate,3900 - 4300 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,in buds   ,"Most farmers grow this variety both for consumption and for exchange and sale. They attribute healing properties against cancer to it. It has tolerance to hail and frost. Due to its rusticity, its planting has been increasing in recent years.","Barter, Family consumption and Health Benefits","Parboiled, soups, chuño",Intermediate
Yana Suytu,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated ,Superficial,Intense blackish,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Straight,3 pairs,1 pair,0.53 kg,19,Intermediate,3900 - 4300 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,in buds   ,"It is planted only in chaqru. They have a very pleasant flavor. It is used to barter with products from other areas. It has been cultivated for generations, which is why it is considered a “grandfather's potato.” Due to its long stolons, it has to be planted at a greater distance between rows.",Barter,"Parboiled, chuño, soup",Intermediate
Yana Ruyru Shiri,2,Direct/Tuber Color and Shape,Solanum curtilobum  ,Common ,Flattened round,Outstanding,Intermediate purple,Absent,Absent ,Violet ,White,Vascular ring and medulla,Decumbent,"Pigmented, with little green",Wavy,5 pairs,1 pair,0.59 kg,18,Intermediate,4000 - 4300 msnm,Resistant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Pentagonal ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is a variety that is planted alone and, on some occasions, in chaqru of bitter potatoes. During flowering it has numerous flowers. Farmers in the area consider it an “old potato” or “grandfather's potato.” It is used almost exclusively to make chuño.",,"Chuño, soup",Short
Yana Suytu Asnupa Qaran,2,Indirect/Body parts and Color,Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Average,Intense blackish,Absent,Absent ,White ,Violet,Vascular ring and medulla,Decumbent,"Pigmented, with little green",Straight,5 pairs,1 pair,0.39 kg,16,Intermediate,3900 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented stigma and inner ovary wall,Purple,White,in buds   ,"It is a very floury variety, it has no commercial value, but it is appreciated for its excellent flavor. It is only planted in chaqru. It is very susceptible to wet soils. It is called asnopa qaran because of the thick skin of the tuber.",,"Parboiled, chuño",Intermediate
Yana Suytu Gaspar,3,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,Outstanding,Intermediate purple,Absent,Absent ,White ,Violet,Wide vascular ring ,Decumbent,"Green, with many spots",Straight,6 pairs,2 pairs,0.66 kg,20,Early,3800 - 4300 msnm,Susceptible,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Violet,Absent,Absent    ,This variety belongs to the Gaspar group. Farmers usually plant it in chaqru. This potato is susceptible to rot during storage.,,"Parboiled, chuño",Intermediate
Yana Trenza,2,Indirect/Object and Color,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated ,Average,Intense blackish,Absent,Absent ,Cream ,Red,Few stains  ,Decumbent,Purple   ,Straight,5 pairs,1 pair,1.56 kg,25,Early,3800 - 4100 msnm,Susceptible,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,at apex   ,This variety is only planted in chaqru. It has a floury texture and pleasant flavor. This variety is also used in barter.,Barter,"Parboiled, soup, stew, watya, chuño",Short
Yana Wakapa Qallun,1,Indirect/Body parts and Color,Solanum tuberosum (Group Andigenum),Common ,flattened oblong,Superficial,Intense red-purple,Blackish,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,4 pairs,1 pair,1.10 kg,22,Intermediate,3400 - 4100 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,at apex   ,"Due to their shape and color, the tubers of this variety resemble cow's tongue, hence its name. According to farmers, it is a watery variety. Lasts very little time in storage",,"Parboiled, soup, stew",Intermediate
Yana Waña,2,Direct/Tuber Color,Solanum Curtilobum  ,Common ,Round ,Superficial,Intermediate purple,White-cream,Splattered stains,White ,Purple,Wide vascular ring ,semi-roseate,"Pigmented, with little green",Wavy,4 pairs,1 pair,0.65 kg,14,Intermediate,4000 - 4400 msnm,Resistant,Resistant,Pigmented with little green ,Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,Absent,Absent      ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,in buds   ,"It is a variety that is planted alone or in chaqru. According to farmers, it is resistant to climate change, because it is resistant to frosts and hailstorms that increasingly appear on unpredictable dates and cause severe damage to other varieties. It is mainly used to make chuño.",,"Chuño, soup",Prolonged
Yana Winqu,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Abundant ,Oblong-elongated ,Average,Intense blackish,Absent,Absent ,White ,Purple,Vascular ring and medulla,Semi-erect,"Pigmented, with abundant green",Wavy,3 pairs,1 pair,0.28 kg,10,Intermediate,3600 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Pigmented on joint    ,Moderate,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands and apex , inner ovary wall,Purple,White,at apex   ,It is a variety that is planted alone or in chaqru. The name is due to its resemblance to the horns of animals. It is a very typical variety of Huancavelica that has been cultivated since the time of our grandparents. It is very floury and is commonly used as a “gift potato”.,Gift,"Parboiled, pachamanca, chips",Short
Yaraq Ripran,0,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Very scarce,Flattened round,Superficial,light brown,Red,in the eyes,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,5 pairs,1 pair,0.49 kg,12,Intermediate,3900 - 4100 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Very rotated,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Pink,At base   ,"This variety can only be found in chaqru. When the tuber ages it is very rich, it becomes anku ankucha, that is, sweet and elastic.",,"Parboiled, soups, chuño, fried potatoes",Intermediate
Yawar Manto,1,Indirect/Body parts,Solanum tuberosum (Group Stenotomum),Very scarce,Oblong ,Average,Intermediate red-purple,Absent,Absent ,Red ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,6 pairs,2 pairs,0.60 kg,11,Intermediate,4100 - 4200 msnm,Susceptible,Susceptible,Green    ,Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"It is a variety that is only planted in chaqru. Its tubers are characterized by having completely red pigmented pulp, hence its name. It has recently been introduced to the market for processing into flakes.",,"Parboiled, chuño",Short
Yuraq Aqu Suytu,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Chaucha),Abundant ,Oblong-elongated ,Superficial,light yellow,Pink,in the eyes,Cream ,Absent,Absent   ,Decumbent,Green   ,Absent,5 pairs,2 pairs,0.37 kg,15,Intermediate,4200 - 4300 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Pentagonal ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,at apex   ,"Due to its pleasant flavor, this variety is very commercial in local, regional and national markets. It is very floury.",Commercial,"Parboiled, pachamanca, chuño",Short
Yuraq Butijuela,2,Indirect/Object and Color,Solanum tuberosum (Group Chaucha),Very scarce,Oblong-elongated (nailed),Superficial,deep yellow,Purple,in the eyes,Yellow ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.50 kg,12,Early,3800 - 4300 msnm,Susceptible,Tolerant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Very rotated,pale lilac,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"It is planted separately in large areas due to its appreciated flavor, short cooking time and its commercial value in regional markets. It is a variety that sprouts quickly and turns green quickly when exposed to minimal light.",Commercial,"Parboiled, pachamanca,
fried strips",Short
Yuraq Gaspar,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,Deep,light yellow,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,3 pairs,1 pair,0.92 kg,18,Intermediate,3700 - 4200 msnm,Tolerant,Susceptible,"Green, with few spots ",Pigmented under joint    ,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented stigma  ,Purple,White,in buds   ,It is a very difficult variety to peel due to its shape similar to a bunch of grapes and its deep eyes. It is planted in chaqru and is susceptible to humidity.,,"Parboiled, chuño",Short
Yuraq Ipillu,4,Indirect/Object and Color,Solanum tuberosum (Group Andigenum),Infrequent,elongated falcate,Superficial,Medium brown,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,4 pairs,2 pairs,0.48 kg,22,Intermediate,3700 - 4200 msnm,Tolerant,Susceptible,"Green, with few spots ",Pigmented under joint    ,Moderate,Rotated ,light purple,White,Acumen - underside    ,Apex pigmented spot  ,Without anthocyanins  ,Red,White,in buds   ,"To produce tubers like bugles, this variety has to be planted in circles, otherwise they will only come out elongated. Once harvested, they must be moved very carefully, because they tend to break. According to the farmers, this variety scares away the other varieties when it is planted in chaqru because of its similarity to the snake, at night it says “chiq chiq” and the other potatoes feel afraid and run away.",Personhood (Scares other varities),"Parboiled, earth-baked, chuño",Short
Yuraq Llumchuy Waqachi,4,Indirect/Custom,Solanum tuberosum (Group Andigenum),Scarce ,Concertinate round,Average,light yellow,Purple,in the eyes,Cream ,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,5 pairs,2 pairs,0.56 kg,13,Intermediate,3700 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,abortion buttons,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Purple,At base   ,"In the past, young girls were made to peel this potato; only those who passed the test could get married. This story has crossed local borders and is currently known in cities as the “mother-in-law” potato. It is a watery variety.",Daughters-in-law challenge,Parboiled,Short
Yuraq Mantaro,1,Direct/Origin and Tuber Color,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Average,light brown,Absent,Absent ,White ,Absent,Absent   ,Decumbent,Green   ,Straight,6 pairs,2 pairs,1.95 kg,35,Intermediate,3400 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,deep purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"Farmers make dried potatoes with this native variety for its excellent flavor in the carapulca dish. Before improved potatoes arrived in these communities, this variety was mostly used in soups and stews due to its semi-floury texture.",,"Parboiled, soup, chuño, second, dried potato",Intermediate
Yuraq Manua,2,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Common ,Compressed ,Deep,Medium brown,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Wavy,5 pairs,3 pairs,0.54 kg,17,Intermediate,4000 - 4300 msnm,Resistant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Very rotated,light violet,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"This variety is planted especially to make chuño. It is also preferred to thicken soups. Parboiled, it acquires a spicy flavor. It is appreciated for its resistance to frost",,"Chuño, soup",Intermediate
Yuraq Palta,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Average,deep yellow,Absent,Absent ,light yellow,Absent,Absent   ,Decumbent,Green   ,Straight,4 pairs,1 pair,0.71 kg,8,Intermediate,3900 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented style  ,Purple,White,in buds   ,Variety used mostly in soups and stews. Farmers make dried potatoes with this native variety for its excellent flavor in carapulca (gastronomic stew).,,"Parboiled, stew, soup, chuño, fried",Short
Yuraq Pampa Ustu,2,Indirect/Object and Color,Solanum juzepczukii  ,Infrequent,nailed obovate,Superficial,Intermediate white-cream,Purple,Few stains,White ,Absent,Absent   ,semi-roseate,Green   ,Wavy,5 pairs,1 pair,0.33 kg,10,Intermediate,3900 - 4300 msnm,Resistant,Tolerant,Pigmented with little green ,Fully pigmented     ,Scarce,Rotated ,light violet,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Purple,Few stains throughout,"It is a variety preferably used to make chuño. It is planted in the highest areas due to its resistance to frost. Its harvest is special, because the tubers form in the ground like a stake, making their extraction difficult. It does not parboil well when cooked.",,"Chuño, soup",Short
Yuraq Pasña,2,Indirect/Person and Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Concertinated tablet,Deep,Intermediate yellow,Purple,Few stains,Cream ,Absent,Absent   ,Decumbent,Green   ,Absent,6 pairs,3 pairs,0.50 kg,14,Intermediate,3800 - 4100 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,At base   ,"According to farmers, the foliage of pasñas is recognized from afar by its light green or yellowish color. The pasñas or ladies are always the prettiest potatoes, sipaskuna (young ladies). In the area there is also another variety of yuraq pasña that has the banca flower.",,"Parboiled, chuño",Short
Yuraq Peruanita,1,Western Name,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Average,light yellow,Red-purple,like glasses,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Straight,4 pairs,2 pairs,0.38 kg,12,Intermediate,3500 - 4200 msnm,Susceptible,Susceptible,Green with abundant spots ,Lightly pigmented throughout without articulation,Scarce,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,Many stains throughout,"The parboiled tuber of this variety has a rubbery texture; children use it to glue their kites and other papers. It is a variety with long stolons, when hilled they exceed the ridges. It looks like the Peruvian variety, but the flesh is white to cream in color.",,"Parboiled, chuño, pachamanca, soup",Intermediate
Yuraq Puka Ñawi,1,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Average,light brown,Red-purple,in the eyes,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,3 pairs,1 pair,0.74 kg,15,Intermediate,3700 - 4000 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Red,At base   ,It is a native variety that is widely used in the preparation of stews and French fries; it is a floury potato with a pleasant flavor.,,"Parboiled, stew soup, chuño, dried potato, fried",Intermediate
Yuraq Qanchillu,1,Indirect/Object and Color,Solanum juzepczukii  ,Infrequent,flattened oblong,Superficial,Intermediate white-cream,Purple,Splattered stains,White ,Absent,Absent   ,Decumbent,Green   ,Straight,7 pairs,2 pairs,0.75 kg,21,Intermediate,3800 - 4400 msnm,Resistant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,deep purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,in buds   ,"It is planted in high areas due to its resistance to frost. It is an excellent bitter variety for making chuño. In years of low production due to frost, this potato is used for French fries, soups and stews.",,"Chuño, soup, frying",Prolonged
Yuraq Shiri,1,Direct/Tuber Color and Flavor,Solanum juzepczukii  ,Scarce ,flattened oblong,Superficial,Light white-cream,Absent,Absent ,White ,Absent,Absent   ,semi-roseate,Green with few spots,Wavy,6 pairs,1 pair,0.25 kg,7,Late,3900 - 4400 msnm,Resistant,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Semi-starred ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,Few stains throughout,"When eaten parboiled, the tubers of this variety are slightly spicy. It is mostly planted to make chuño. In times of scarcity it is consumed in soups or stir-fries. The tuber is grated in water, the liquid is strained and the starch that remains at the bottom of the container is used to prepare mazamorras or thicken the food.",,"Chuño, soup",Prolonged
Yuraq Suytu Qanchillu,2,Direct/Tuber Color and Shape,Solanum juzepczukii  ,Common ,Oblong-elongated ,Superficial,Light white-cream,Purple,Splattered stains,White ,Absent,Absent   ,semi-roseate,Green with few spots,Straight,5 pairs,2 pairs,0.40 kg,15,Intermediate,3800 - 4400 msnm,Resistant,Tolerant,Pigmented with abundant green ,Fully pigmented     ,Scarce,Pentagonal ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Absent,Absent    ,"It is a variety that is very resistant to frost, which is why it is planted in the highest parts. Its production is used to make chuño.",,"Chuño, soup",Prolonged
Yuraq Tucco,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Deep,light yellow,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,6 pairs,3 pairs,1.10 kg,31,Intermediate,3700 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,At base   ,"This variety has very deep eyes, hence its name (tucco). It is planted in chaqru and is still used to barter with other products.",,"Parboiled, pachamanca, puree",Short
Yuraq Uva,2,Indirect/Crop and Color,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,very deep,light brown,Purple,Few stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,1 pair,0.95 kg,24,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with few spots ",Pigmented under joint    ,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Without anthocyanins  ,Purple,White,in buds   ,This variety is very difficult to peel due to its particular shape; in the past it was used for the daughter-in-law test. It's watery.,Daughters-in-law challenge,"Parboiled, pachamanca",Short
Yuraq Wayru,1,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Abundant ,Oblong-elongated ,Average,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Erect,"Green, with many spots",Absent,4 pairs,2 pairs,0.32 kg,8,Intermediate,3500 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Red,Many stains throughout,"This variety has recently become commercial due to its pleasant flavor and floury texture. When used for chuño, its shell is difficult to peel.",,"Parboiled, chuño, puree, chicken broth",Short
Yutupa Runtun,0,Indirect/Food,Solanum tuberosum (Group Andigenum),Infrequent,Obovate ,Superficial,Intense red-purple,Absent,Absent ,White ,Purple,Vascular ring and medulla,Semi-erect,"Green, with few spots",Absent,5 pairs,4 pairs,2.21 kg,55,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,"It is a variety that is planted in chaqru. The shape of the tuber and the color of the skin resemble the eggs of partridges (Nothoprocta pentlandii), hence its name.",,"Parboiled, soup, chuño, puree, chicken broth",Intermediate
